agent,full_name,refactoring_type,count
Human,Yalantis/Side-Menu.Android,Rename Attribute,4
Human,alibaba/dexposed,Remove Method Modifier,1
Human,alibaba/freeline,Add Class Modifier,1
Human,alibaba/freeline,Add Method Annotation,2
Human,alibaba/freeline,Add Method Modifier,25
Human,alibaba/freeline,Add Parameter,2
Human,alibaba/freeline,Add Parameter Modifier,12
Human,alibaba/freeline,Add Thrown Exception Type,4
Human,alibaba/freeline,Add Variable Modifier,4
Human,alibaba/freeline,Change Attribute Type,5
Human,alibaba/freeline,Change Class Access Modifier,1
Human,alibaba/freeline,Change Method Access Modifier,15
Human,alibaba/freeline,Change Parameter Type,4
Human,alibaba/freeline,Change Return Type,10
Human,alibaba/freeline,Change Variable Type,5
Human,alibaba/freeline,Encapsulate Attribute,2
Human,alibaba/freeline,Extract And Move Method,4
Human,alibaba/freeline,Extract Class,10
Human,alibaba/freeline,Extract Method,22
Human,alibaba/freeline,Extract Variable,3
Human,alibaba/freeline,Inline Method,4
Human,alibaba/freeline,Move And Inline Method,1
Human,alibaba/freeline,Move And Rename Method,3
Human,alibaba/freeline,Move Attribute,4
Human,alibaba/freeline,Move Class,4
Human,alibaba/freeline,Move Method,28
Human,alibaba/freeline,Move Package,4
Human,alibaba/freeline,Move Source Folder,4
Human,alibaba/freeline,Rename Attribute,2
Human,alibaba/freeline,Rename Class,7
Human,alibaba/freeline,Rename Method,4
Human,alibaba/freeline,Rename Parameter,2
Human,alibaba/freeline,Rename Variable,4
Human,amlcurran/ShowcaseView,Add Attribute Annotation,3
Human,amlcurran/ShowcaseView,Add Class Annotation,3
Human,amlcurran/ShowcaseView,Add Method Annotation,18
Human,amlcurran/ShowcaseView,Add Parameter,13
Human,amlcurran/ShowcaseView,Add Parameter Annotation,10
Human,amlcurran/ShowcaseView,Add Parameter Modifier,1
Human,amlcurran/ShowcaseView,Change Attribute Access Modifier,11
Human,amlcurran/ShowcaseView,Change Attribute Type,5
Human,amlcurran/ShowcaseView,Change Class Access Modifier,18
Human,amlcurran/ShowcaseView,Change Method Access Modifier,6
Human,amlcurran/ShowcaseView,Change Parameter Type,4
Human,amlcurran/ShowcaseView,Change Variable Type,1
Human,amlcurran/ShowcaseView,Extract Attribute,19
Human,amlcurran/ShowcaseView,Extract Class,1
Human,amlcurran/ShowcaseView,Extract Method,4
Human,amlcurran/ShowcaseView,Extract Superclass,1
Human,amlcurran/ShowcaseView,Extract Variable,14
Human,amlcurran/ShowcaseView,Inline Method,1
Human,amlcurran/ShowcaseView,Inline Variable,2
Human,amlcurran/ShowcaseView,Move Attribute,4
Human,amlcurran/ShowcaseView,Move Class,1
Human,amlcurran/ShowcaseView,Move Code,1
Human,amlcurran/ShowcaseView,Move Method,4
Human,amlcurran/ShowcaseView,Parameterize Variable,3
Human,amlcurran/ShowcaseView,Pull Up Method,3
Human,amlcurran/ShowcaseView,Remove Attribute Modifier,14
Human,amlcurran/ShowcaseView,Remove Parameter,9
Human,amlcurran/ShowcaseView,Rename Attribute,13
Human,amlcurran/ShowcaseView,Rename Class,1
Human,amlcurran/ShowcaseView,Rename Method,5
Human,amlcurran/ShowcaseView,Rename Parameter,7
Human,amlcurran/ShowcaseView,Rename Variable,2
Human,amlcurran/ShowcaseView,Replace Variable With Attribute,2
Human,andkulikov/Transitions-Everywhere,Add Attribute Modifier,1
Human,andkulikov/Transitions-Everywhere,Add Class Annotation,1
Human,andkulikov/Transitions-Everywhere,Add Class Modifier,1
Human,andkulikov/Transitions-Everywhere,Add Method Annotation,7
Human,andkulikov/Transitions-Everywhere,Add Method Modifier,2
Human,andkulikov/Transitions-Everywhere,Add Parameter,22
Human,andkulikov/Transitions-Everywhere,Add Parameter Modifier,1
Human,andkulikov/Transitions-Everywhere,Change Attribute Access Modifier,9
Human,andkulikov/Transitions-Everywhere,Change Attribute Type,11
Human,andkulikov/Transitions-Everywhere,Change Class Access Modifier,7
Human,andkulikov/Transitions-Everywhere,Change Method Access Modifier,2
Human,andkulikov/Transitions-Everywhere,Change Parameter Type,10
Human,andkulikov/Transitions-Everywhere,Change Return Type,6
Human,andkulikov/Transitions-Everywhere,Change Variable Type,16
Human,andkulikov/Transitions-Everywhere,Encapsulate Attribute,1
Human,andkulikov/Transitions-Everywhere,Extract And Move Method,5
Human,andkulikov/Transitions-Everywhere,Extract Method,9
Human,andkulikov/Transitions-Everywhere,Extract Superclass,2
Human,andkulikov/Transitions-Everywhere,Extract Variable,8
Human,andkulikov/Transitions-Everywhere,Inline Variable,6
Human,andkulikov/Transitions-Everywhere,Invert Condition,3
Human,andkulikov/Transitions-Everywhere,Localize Parameter,3
Human,andkulikov/Transitions-Everywhere,Merge Conditional,6
Human,andkulikov/Transitions-Everywhere,Merge Package,2
Human,andkulikov/Transitions-Everywhere,Modify Class Annotation,22
Human,andkulikov/Transitions-Everywhere,Move And Inline Method,1
Human,andkulikov/Transitions-Everywhere,Move And Rename Attribute,3
Human,andkulikov/Transitions-Everywhere,Move And Rename Class,18
Human,andkulikov/Transitions-Everywhere,Move Attribute,6
Human,andkulikov/Transitions-Everywhere,Move Class,92
Human,andkulikov/Transitions-Everywhere,Move Method,7
Human,andkulikov/Transitions-Everywhere,Move Package,3
Human,andkulikov/Transitions-Everywhere,Move Source Folder,2
Human,andkulikov/Transitions-Everywhere,Parameterize Variable,9
Human,andkulikov/Transitions-Everywhere,Pull Up Method,1
Human,andkulikov/Transitions-Everywhere,Remove Attribute Modifier,1
Human,andkulikov/Transitions-Everywhere,Remove Class Modifier,3
Human,andkulikov/Transitions-Everywhere,Remove Method Annotation,45
Human,andkulikov/Transitions-Everywhere,Remove Method Modifier,5
Human,andkulikov/Transitions-Everywhere,Remove Parameter,8
Human,andkulikov/Transitions-Everywhere,Remove Variable Modifier,2
Human,andkulikov/Transitions-Everywhere,Rename Attribute,2
Human,andkulikov/Transitions-Everywhere,Rename Class,12
Human,andkulikov/Transitions-Everywhere,Rename Method,5
Human,andkulikov/Transitions-Everywhere,Rename Variable,13
Human,andkulikov/Transitions-Everywhere,Reorder Parameter,1
Human,andkulikov/Transitions-Everywhere,Replace Variable With Attribute,3
Human,andkulikov/Transitions-Everywhere,Split Package,1
Human,avast/android-butterknife-zelezny,Add Parameter,3
Human,avast/android-butterknife-zelezny,Encapsulate Attribute,1
Human,avast/android-butterknife-zelezny,Extract And Move Method,1
Human,avast/android-butterknife-zelezny,Extract Method,3
Human,avast/android-butterknife-zelezny,Extract Variable,1
Human,avast/android-butterknife-zelezny,Inline Variable,2
Human,bilibili/DanmakuFlameMaster,Add Attribute Annotation,1
Human,bilibili/DanmakuFlameMaster,Add Attribute Modifier,3
Human,bilibili/DanmakuFlameMaster,Add Method Annotation,2
Human,bilibili/DanmakuFlameMaster,Add Method Modifier,12
Human,bilibili/DanmakuFlameMaster,Add Parameter,29
Human,bilibili/DanmakuFlameMaster,Add Thrown Exception Type,3
Human,bilibili/DanmakuFlameMaster,Add Variable Modifier,3
Human,bilibili/DanmakuFlameMaster,Change Attribute Access Modifier,7
Human,bilibili/DanmakuFlameMaster,Change Attribute Type,17
Human,bilibili/DanmakuFlameMaster,Change Method Access Modifier,5
Human,bilibili/DanmakuFlameMaster,Change Parameter Type,18
Human,bilibili/DanmakuFlameMaster,Change Return Type,33
Human,bilibili/DanmakuFlameMaster,Change Variable Type,11
Human,bilibili/DanmakuFlameMaster,Encapsulate Attribute,4
Human,bilibili/DanmakuFlameMaster,Extract And Move Method,9
Human,bilibili/DanmakuFlameMaster,Extract Attribute,2
Human,bilibili/DanmakuFlameMaster,Extract Class,4
Human,bilibili/DanmakuFlameMaster,Extract Interface,2
Human,bilibili/DanmakuFlameMaster,Extract Method,32
Human,bilibili/DanmakuFlameMaster,Extract Superclass,2
Human,bilibili/DanmakuFlameMaster,Extract Variable,18
Human,bilibili/DanmakuFlameMaster,Inline Variable,13
Human,bilibili/DanmakuFlameMaster,Invert Condition,5
Human,bilibili/DanmakuFlameMaster,Merge Conditional,15
Human,bilibili/DanmakuFlameMaster,Move And Rename Class,1
Human,bilibili/DanmakuFlameMaster,Move And Rename Method,1
Human,bilibili/DanmakuFlameMaster,Move Attribute,1
Human,bilibili/DanmakuFlameMaster,Move Class,2
Human,bilibili/DanmakuFlameMaster,Move Code,1
Human,bilibili/DanmakuFlameMaster,Move Method,6
Human,bilibili/DanmakuFlameMaster,Parameterize Attribute,4
Human,bilibili/DanmakuFlameMaster,Parameterize Variable,3
Human,bilibili/DanmakuFlameMaster,Pull Up Attribute,5
Human,bilibili/DanmakuFlameMaster,Remove Attribute Annotation,1
Human,bilibili/DanmakuFlameMaster,Remove Attribute Modifier,11
Human,bilibili/DanmakuFlameMaster,Remove Method Annotation,2
Human,bilibili/DanmakuFlameMaster,Remove Method Modifier,12
Human,bilibili/DanmakuFlameMaster,Remove Parameter,5
Human,bilibili/DanmakuFlameMaster,Rename Attribute,10
Human,bilibili/DanmakuFlameMaster,Rename Class,4
Human,bilibili/DanmakuFlameMaster,Rename Method,17
Human,bilibili/DanmakuFlameMaster,Rename Parameter,10
Human,bilibili/DanmakuFlameMaster,Rename Variable,4
Human,bilibili/DanmakuFlameMaster,Replace Attribute With Variable,3
Human,bilibili/DanmakuFlameMaster,Replace Generic With Diamond,2
Human,bilibili/DanmakuFlameMaster,Replace Variable With Attribute,2
Human,bilibili/DanmakuFlameMaster,Split Conditional,7
Human,bilibili/boxing,Add Parameter,12
Human,bilibili/boxing,Change Method Access Modifier,1
Human,bilibili/boxing,Extract Superclass,1
Human,bilibili/boxing,Extract Variable,5
Human,bilibili/boxing,Move And Rename Method,1
Human,chrisbanes/ActionBar-PullToRefresh,Add Attribute Modifier,3
Human,chrisbanes/ActionBar-PullToRefresh,Change Variable Type,2
Human,chrisbanes/Android-PullToRefresh,Add Attribute Modifier,2
Human,chrisbanes/Android-PullToRefresh,Add Parameter,6
Human,chrisbanes/Android-PullToRefresh,Change Attribute Access Modifier,1
Human,chrisbanes/Android-PullToRefresh,Change Attribute Type,1
Human,chrisbanes/Android-PullToRefresh,Change Class Access Modifier,1
Human,chrisbanes/Android-PullToRefresh,Change Method Access Modifier,1
Human,chrisbanes/Android-PullToRefresh,Change Parameter Type,2
Human,chrisbanes/Android-PullToRefresh,Encapsulate Attribute,1
Human,chrisbanes/Android-PullToRefresh,Extract And Move Method,3
Human,chrisbanes/Android-PullToRefresh,Extract Method,3
Human,chrisbanes/Android-PullToRefresh,Extract Variable,2
Human,chrisbanes/Android-PullToRefresh,Inline Method,3
Human,chrisbanes/Android-PullToRefresh,Move Source Folder,2
Human,chrisbanes/Android-PullToRefresh,Remove Attribute Modifier,5
Human,chrisbanes/Android-PullToRefresh,Rename Attribute,3
Human,chrisbanes/Android-PullToRefresh,Rename Parameter,1
Human,chrisbanes/Android-PullToRefresh,Rename Variable,1
Human,chrisbanes/Android-PullToRefresh,Replace Variable With Attribute,2
Human,crazycodeboy/TakePhoto,Add Parameter,20
Human,crazycodeboy/TakePhoto,Extract Variable,1
Human,crazycodeboy/TakePhoto,Rename Method,1
Human,cymcsg/UltimateRecyclerView,Add Attribute Modifier,7
Human,cymcsg/UltimateRecyclerView,Add Class Annotation,7
Human,cymcsg/UltimateRecyclerView,Add Class Modifier,20
Human,cymcsg/UltimateRecyclerView,Add Method Annotation,151
Human,cymcsg/UltimateRecyclerView,Add Method Modifier,129
Human,cymcsg/UltimateRecyclerView,Add Parameter,77
Human,cymcsg/UltimateRecyclerView,Add Parameter Annotation,51
Human,cymcsg/UltimateRecyclerView,Add Parameter Modifier,137
Human,cymcsg/UltimateRecyclerView,Add Thrown Exception Type,2
Human,cymcsg/UltimateRecyclerView,Add Variable Modifier,43
Human,cymcsg/UltimateRecyclerView,Change Attribute Access Modifier,292
Human,cymcsg/UltimateRecyclerView,Change Attribute Type,154
Human,cymcsg/UltimateRecyclerView,Change Class Access Modifier,37
Human,cymcsg/UltimateRecyclerView,Change Method Access Modifier,219
Human,cymcsg/UltimateRecyclerView,Change Parameter Type,252
Human,cymcsg/UltimateRecyclerView,Change Return Type,209
Human,cymcsg/UltimateRecyclerView,Change Variable Type,125
Human,cymcsg/UltimateRecyclerView,Encapsulate Attribute,11
Human,cymcsg/UltimateRecyclerView,Extract And Move Method,123
Human,cymcsg/UltimateRecyclerView,Extract Attribute,15
Human,cymcsg/UltimateRecyclerView,Extract Class,6
Human,cymcsg/UltimateRecyclerView,Extract Interface,1
Human,cymcsg/UltimateRecyclerView,Extract Method,173
Human,cymcsg/UltimateRecyclerView,Extract Subclass,2
Human,cymcsg/UltimateRecyclerView,Extract Superclass,19
Human,cymcsg/UltimateRecyclerView,Extract Variable,68
Human,cymcsg/UltimateRecyclerView,Inline Method,4
Human,cymcsg/UltimateRecyclerView,Inline Variable,52
Human,cymcsg/UltimateRecyclerView,Invert Condition,14
Human,cymcsg/UltimateRecyclerView,Localize Parameter,1
Human,cymcsg/UltimateRecyclerView,Merge Class,6
Human,cymcsg/UltimateRecyclerView,Merge Conditional,6
Human,cymcsg/UltimateRecyclerView,Move And Rename Class,61
Human,cymcsg/UltimateRecyclerView,Move And Rename Method,71
Human,cymcsg/UltimateRecyclerView,Move Attribute,58
Human,cymcsg/UltimateRecyclerView,Move Class,244
Human,cymcsg/UltimateRecyclerView,Move Code,4
Human,cymcsg/UltimateRecyclerView,Move Method,80
Human,cymcsg/UltimateRecyclerView,Parameterize Attribute,4
Human,cymcsg/UltimateRecyclerView,Parameterize Variable,19
Human,cymcsg/UltimateRecyclerView,Pull Up Attribute,46
Human,cymcsg/UltimateRecyclerView,Pull Up Method,84
Human,cymcsg/UltimateRecyclerView,Push Down Attribute,1
Human,cymcsg/UltimateRecyclerView,Push Down Method,4
Human,cymcsg/UltimateRecyclerView,Remove Attribute Modifier,7
Human,cymcsg/UltimateRecyclerView,Remove Class Modifier,24
Human,cymcsg/UltimateRecyclerView,Remove Method Annotation,8
Human,cymcsg/UltimateRecyclerView,Remove Parameter,67
Human,cymcsg/UltimateRecyclerView,Remove Parameter Modifier,57
Human,cymcsg/UltimateRecyclerView,Remove Variable Modifier,1
Human,cymcsg/UltimateRecyclerView,Rename Attribute,50
Human,cymcsg/UltimateRecyclerView,Rename Class,59
Human,cymcsg/UltimateRecyclerView,Rename Method,222
Human,cymcsg/UltimateRecyclerView,Rename Package,30
Human,cymcsg/UltimateRecyclerView,Rename Parameter,154
Human,cymcsg/UltimateRecyclerView,Rename Variable,69
Human,cymcsg/UltimateRecyclerView,Replace Anonymous With Class,2
Human,cymcsg/UltimateRecyclerView,Replace Conditional With Ternary,4
Human,cymcsg/UltimateRecyclerView,Replace Generic With Diamond,7
Human,cymcsg/UltimateRecyclerView,Replace Variable With Attribute,3
Human,cymcsg/UltimateRecyclerView,Split Conditional,30
Human,cymcsg/UltimateRecyclerView,Split Method,2
Human,daimajia/NumberProgressBar,Add Parameter,4
Human,daimajia/NumberProgressBar,Encapsulate Attribute,3
Human,daimajia/NumberProgressBar,Extract Method,1
Human,daimajia/NumberProgressBar,Inline Method,1
Human,daimajia/NumberProgressBar,Rename Attribute,6
Human,daimajia/NumberProgressBar,Rename Method,4
Human,daimajia/NumberProgressBar,Rename Parameter,7
Human,dm77/barcodescanner,Add Method Annotation,23
Human,dm77/barcodescanner,Add Method Modifier,1
Human,dm77/barcodescanner,Add Parameter,6
Human,dm77/barcodescanner,Add Variable Modifier,1
Human,dm77/barcodescanner,Change Attribute Type,3
Human,dm77/barcodescanner,Change Method Access Modifier,1
Human,dm77/barcodescanner,Change Parameter Type,6
Human,dm77/barcodescanner,Encapsulate Attribute,3
Human,dm77/barcodescanner,Extract Attribute,5
Human,dm77/barcodescanner,Extract Interface,1
Human,dm77/barcodescanner,Extract Method,3
Human,dm77/barcodescanner,Extract Superclass,2
Human,dm77/barcodescanner,Extract Variable,6
Human,dm77/barcodescanner,Invert Condition,2
Human,dm77/barcodescanner,Move Method,2
Human,dm77/barcodescanner,Move Source Folder,7
Human,dm77/barcodescanner,Remove Parameter,1
Human,dm77/barcodescanner,Rename Attribute,3
Human,dm77/barcodescanner,Rename Class,6
Human,dm77/barcodescanner,Rename Method,2
Human,dm77/barcodescanner,Rename Parameter,5
Human,dm77/barcodescanner,Rename Variable,1
Human,dm77/barcodescanner,Replace Attribute With Variable,3
Human,dm77/barcodescanner,Replace Generic With Diamond,10
Human,dm77/barcodescanner,Replace Variable With Attribute,6
Human,facebookarchive/network-connection-class,Add Parameter,1
Human,facebookarchive/network-connection-class,Change Attribute Access Modifier,4
Human,facebookarchive/network-connection-class,Change Attribute Type,1
Human,facebookarchive/network-connection-class,Change Method Access Modifier,2
Human,facebookarchive/network-connection-class,Extract And Move Method,1
Human,facebookarchive/network-connection-class,Extract Method,1
Human,facebookarchive/network-connection-class,Extract Variable,1
Human,facebookarchive/network-connection-class,Move Attribute,2
Human,facebookarchive/network-connection-class,Move Code,3
Human,facebookarchive/network-connection-class,Move Method,2
Human,facebookarchive/network-connection-class,Remove Parameter,1
Human,facebookarchive/network-connection-class,Rename Method,1
Human,facebookarchive/rebound,Add Attribute Modifier,5
Human,facebookarchive/rebound,Add Class Modifier,1
Human,facebookarchive/rebound,Add Method Annotation,3
Human,facebookarchive/rebound,Add Parameter,1
Human,facebookarchive/rebound,Change Attribute Access Modifier,2
Human,facebookarchive/rebound,Change Attribute Type,9
Human,facebookarchive/rebound,Change Class Access Modifier,1
Human,facebookarchive/rebound,Change Method Access Modifier,2
Human,facebookarchive/rebound,Change Parameter Type,4
Human,facebookarchive/rebound,Change Type Declaration Kind,1
Human,facebookarchive/rebound,Extract And Move Method,2
Human,facebookarchive/rebound,Extract Class,1
Human,facebookarchive/rebound,Extract Method,1
Human,facebookarchive/rebound,Extract Subclass,1
Human,facebookarchive/rebound,Extract Variable,1
Human,facebookarchive/rebound,Move And Rename Method,1
Human,facebookarchive/rebound,Move Attribute,6
Human,facebookarchive/rebound,Move Class,1
Human,facebookarchive/rebound,Move Method,2
Human,facebookarchive/rebound,Move Source Folder,6
Human,facebookarchive/rebound,Push Down Method,2
Human,facebookarchive/rebound,Remove Class Annotation,3
Human,facebookarchive/rebound,Remove Method Annotation,1
Human,facebookarchive/rebound,Remove Method Modifier,6
Human,facebookarchive/rebound,Remove Parameter,3
Human,facebookarchive/rebound,Rename Attribute,6
Human,facebookarchive/rebound,Rename Class,3
Human,facebookarchive/rebound,Rename Method,4
Human,facebookarchive/rebound,Rename Parameter,1
Human,facebookarchive/rebound,Replace Attribute With Variable,2
Human,florent37/MaterialViewPager,Add Attribute Annotation,3
Human,florent37/MaterialViewPager,Add Parameter,1
Human,florent37/MaterialViewPager,Add Variable Modifier,6
Human,florent37/MaterialViewPager,Change Attribute Access Modifier,36
Human,florent37/MaterialViewPager,Change Attribute Type,2
Human,florent37/MaterialViewPager,Change Method Access Modifier,20
Human,florent37/MaterialViewPager,Change Parameter Type,7
Human,florent37/MaterialViewPager,Encapsulate Attribute,3
Human,florent37/MaterialViewPager,Extract Method,7
Human,florent37/MaterialViewPager,Extract Variable,1
Human,florent37/MaterialViewPager,Inline Variable,3
Human,florent37/MaterialViewPager,Move Class,1
Human,florent37/MaterialViewPager,Move Code,1
Human,florent37/MaterialViewPager,Remove Attribute Modifier,3
Human,florent37/MaterialViewPager,Remove Parameter,3
Human,florent37/MaterialViewPager,Rename Attribute,1
Human,florent37/MaterialViewPager,Rename Parameter,2
Human,florent37/MaterialViewPager,Replace Attribute With Variable,1
Human,frogermcs/InstaMaterial,Add Attribute Annotation,48
Human,frogermcs/InstaMaterial,Remove Attribute Annotation,48
Human,geeeeeeeeek/WeChatLuckyMoney,Add Method Annotation,2
Human,geeeeeeeeek/WeChatLuckyMoney,Add Parameter,6
Human,geeeeeeeeek/WeChatLuckyMoney,Add Variable Modifier,5
Human,geeeeeeeeek/WeChatLuckyMoney,Change Attribute Access Modifier,6
Human,geeeeeeeeek/WeChatLuckyMoney,Change Attribute Type,4
Human,geeeeeeeeek/WeChatLuckyMoney,Change Method Access Modifier,1
Human,geeeeeeeeek/WeChatLuckyMoney,Change Parameter Type,2
Human,geeeeeeeeek/WeChatLuckyMoney,Change Return Type,4
Human,geeeeeeeeek/WeChatLuckyMoney,Extract And Move Method,4
Human,geeeeeeeeek/WeChatLuckyMoney,Extract Class,1
Human,geeeeeeeeek/WeChatLuckyMoney,Extract Method,24
Human,geeeeeeeeek/WeChatLuckyMoney,Extract Variable,7
Human,geeeeeeeeek/WeChatLuckyMoney,Inline Variable,4
Human,geeeeeeeeek/WeChatLuckyMoney,Invert Condition,1
Human,geeeeeeeeek/WeChatLuckyMoney,Merge Conditional,1
Human,geeeeeeeeek/WeChatLuckyMoney,Modify Method Annotation,4
Human,geeeeeeeeek/WeChatLuckyMoney,Move Attribute,1
Human,geeeeeeeeek/WeChatLuckyMoney,Move Class,7
Human,geeeeeeeeek/WeChatLuckyMoney,Move Method,2
Human,geeeeeeeeek/WeChatLuckyMoney,Move Package,1
Human,geeeeeeeeek/WeChatLuckyMoney,Parameterize Variable,2
Human,geeeeeeeeek/WeChatLuckyMoney,Remove Attribute Modifier,2
Human,geeeeeeeeek/WeChatLuckyMoney,Remove Method Annotation,4
Human,geeeeeeeeek/WeChatLuckyMoney,Remove Parameter,4
Human,geeeeeeeeek/WeChatLuckyMoney,Remove Variable Modifier,1
Human,geeeeeeeeek/WeChatLuckyMoney,Rename Attribute,9
Human,geeeeeeeeek/WeChatLuckyMoney,Rename Method,9
Human,geeeeeeeeek/WeChatLuckyMoney,Rename Variable,13
Human,geeeeeeeeek/WeChatLuckyMoney,Replace Attribute With Variable,1
Human,geeeeeeeeek/WeChatLuckyMoney,Replace Generic With Diamond,1
Human,geeeeeeeeek/WeChatLuckyMoney,Replace Variable With Attribute,3
Human,go-lang-plugin-org/go-lang-idea-plugin,Add Attribute Modifier,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Add Method Annotation,2
Human,go-lang-plugin-org/go-lang-idea-plugin,Add Parameter Annotation,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Change Attribute Type,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Change Method Access Modifier,2
Human,go-lang-plugin-org/go-lang-idea-plugin,Change Variable Type,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Extract Method,5
Human,go-lang-plugin-org/go-lang-idea-plugin,Extract Superclass,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Extract Variable,5
Human,go-lang-plugin-org/go-lang-idea-plugin,Inline Variable,4
Human,go-lang-plugin-org/go-lang-idea-plugin,Invert Condition,2
Human,go-lang-plugin-org/go-lang-idea-plugin,Merge Conditional,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Move And Inline Method,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Move Method,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Pull Up Method,4
Human,go-lang-plugin-org/go-lang-idea-plugin,Remove Method Annotation,2
Human,go-lang-plugin-org/go-lang-idea-plugin,Remove Parameter Annotation,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Rename Method,9
Human,go-lang-plugin-org/go-lang-idea-plugin,Rename Variable,1
Human,go-lang-plugin-org/go-lang-idea-plugin,Split Conditional,3
Human,grantland/android-autofittextview,Add Method Modifier,1
Human,grantland/android-autofittextview,Add Parameter,6
Human,grantland/android-autofittextview,Extract And Move Method,8
Human,grantland/android-autofittextview,Extract Class,2
Human,grantland/android-autofittextview,Move And Rename Method,2
Human,grantland/android-autofittextview,Move Attribute,8
Human,grantland/android-autofittextview,Move Method,5
Human,grantland/android-autofittextview,Remove Method Annotation,2
Human,grantland/android-autofittextview,Rename Parameter,3
Human,hongyangAndroid/AndroidAutoLayout,Extract Superclass,1
Human,hongyangAndroid/FlowLayout,Change Attribute Type,1
Human,hongyangAndroid/FlowLayout,Extract Method,1
Human,hongyangAndroid/FlowLayout,Replace Variable With Attribute,1
Human,ikew0ng/SwipeBackLayout,Change Attribute Access Modifier,1
